drug,sentence,title,doi,in-vitro evidence
emetine,"["" 'emetine is a fda - approved drug for the treatment of amebiasis."", ' in the recent times we had also demonstrated the antiviral efficacy of emetine against some rna and dna viruses.', ' following emergence of the covid - 19 ,  we further evaluated thein vitro antiviral activity of emetine against severe acute respiratory syndrome coronavirus 2 ( sars - cov - 2 ) .', ' the therapeutic index of emetine was determined to be 10910.', 'besides ,  we also demonstrated the protective efficacy of emetine against lethal challenge with infectious bronchitis virus ( ibv; a chicken coronavirus )  in the embryonated chicken egg infection model.', ' emetine treatment was shown to decrease viral rna and protein synthesis without affecting other steps of viral life cycle such as attachment ,  entry and budding.', 'in a chromatin immunoprecipitation ( chip )  assay ,  emetine was shown to disrupt the binding of sars - cov - 2 rna with eif4e ( eukaryotic translation initiation factor 4e ,  a cellular cap - binding protein required for initiation ofprotein translation ) .', ' to conclude ,  emetine targets sars - cov - 2 protein synthesis which is mediated via inhibiting the interaction of sars - cov - 2 rna with eif4e.', ' this is a novel mechanistic insight on the antiviral efficacy of emetine.', ' in vitro antiviral efficacy against sars - cov - 2 and its ability to protect chicken embryos against ibv suggests that emetine could be repurposed to treat covid - 19.']",'Emetine as an antiviral agent suppresses SARS-CoV-2 replication by inhibiting interaction of viral mRNA with eIF4E: An in vitro study','10.1101/2020.11.29.401984',"[['8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.'], ['4 ,  at a cytotoxic concentration 50 ( cc50 )  of 1603.8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.']]"
thein,"[' following emergence of the covid - 19 ,  we further evaluated thein vitro antiviral activity of emetine against severe acute respiratory syndrome coronavirus 2 ( sars - cov - 2 ) .']",'Emetine as an antiviral agent suppresses SARS-CoV-2 replication by inhibiting interaction of viral mRNA with eIF4E: An in vitro study','10.1101/2020.11.29.401984',"[['8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.'], ['4 ,  at a cytotoxic concentration 50 ( cc50 )  of 1603.8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.']]"
chicken,"['besides ,  we also demonstrated the protective efficacy of emetine against lethal challenge with infectious bronchitis virus ( ibv; a chicken coronavirus )  in the embryonated chicken egg infection model.', ' in vitro antiviral efficacy against sars - cov - 2 and its ability to protect chicken embryos against ibv suggests that emetine could be repurposed to treat covid - 19.']",'Emetine as an antiviral agent suppresses SARS-CoV-2 replication by inhibiting interaction of viral mRNA with eIF4E: An in vitro study','10.1101/2020.11.29.401984',"[['8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.'], ['4 ,  at a cytotoxic concentration 50 ( cc50 )  of 1603.8 nm and effective concentration 50 ( ec50 )  of 0.147 nm.']]"
angiotensin,[' viral entry via binding of the receptor binding domain ( rbd )  located within the s1 subunit of the sars - cov - 2 spike ( s )  protein to its target receptor angiotensin converting enzyme ( ace )  2 is a key step in cell infection.'],'LL-37 fights SARS-CoV-2: The Vitamin D-Inducible Peptide LL-37 Inhibits Binding of SARS-CoV-2 Spike Protein to its Cellular Receptor Angiotensin Converting Enzyme 2 In Vitro','10.1101/2020.12.02.408153',"[[' further ,  inhibition of the binding of s - strep ( ic50 = 735 nm )  ,  s1e ( ic50 = 168 nm )  ,  and rbd ( ic50 = 126 nm )  to hace2 by ll - 37 was demonstrated.']]"
voxilaprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
grazoprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
telaprevir,"[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
remdesivir,"[' we evaluated the efficacy of clinically relevant hepatitis c virus ( hcv )  ns3 protease inhibitors ( pi )  against sars - cov - 2 and their interactions with remdesivir ,  the only antiviral approved for treatment of covid - 19.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.', '4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.', ' considering potency ,  human plasma concentrations and synergism with remdesivir ,  simeprevir seemed the most promising compound for optimization of future antiviral treatments of covid - 19.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
boceprevir,"[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
narlaprevir,"[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
danoprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
glecaprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
simeprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.', ' considering potency ,  human plasma concentrations and synergism with remdesivir ,  simeprevir seemed the most promising compound for optimization of future antiviral treatments of covid - 19.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
paritaprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' in combination with remdesivir ,  linear pi boceprevir and narlaprevir showed antagonism ,  while macrocyclic pi simeprevir ,  paritaprevir and grazoprevir showed synergism with drug reduction indexes of up to 27 for simeprevir.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
vaniprevir,"[' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
faldaprevir,"[' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
asunaprevir,"[' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.']",'Hepatitis C Virus Protease Inhibitors Show Differential Efficacy and Interactions with Remdesivir for Treatment of SARS-CoV-2 in Vitro','10.1101/2020.12.02.408112',"[[' linear pi boceprevir ,  telaprevir and narlaprevir had 50% effective concentrations ( ec50 )  of ~40 m.', ' among macrocyclic pi simeprevir ,  paritaprevir ,  grazoprevir ,  glecaprevir ,  voxilaprevir ,  vaniprevir ,  danoprevir and deldeprevir ,  simeprevir had the highest ( ec50 15 m )  and glecaprevir the lowest ( ec50 >178 m )  potency.', ' acyclic pi asunaprevir and faldaprevir had ec50 of 72 and 23 m ,  respectively.', ' ach - 806 ,  an hcv ns3 protease co - factor ns4a inhibitor ,  had ec50 of 46 m.', ' treatment of infected cultures with equipotent concentrations ( 1 - fold ec50 )  of hcv pi revealed minor differences in barrier to sars - cov - 2 escape.', ' complete viral suppression was achieved treating with [&ge;]3 - fold ec50 boceprevir or combination of 1 - fold ec50 simeprevir with 0.4 - fold ec50 remdesivir ,  not leading to significant viral suppression in single treatments.']]"
pyronaridine,"[' we have previously repurposed pyronaridine ,  tilorone and quinacrine ( from malaria ,  influenza ,  and antiprotozoal uses ,  respectively )  as inhibitors of ebola and marburg virus in vitro in hela cells and of mouse adapted ebola virus in mouse in vivo.', ' we found that tilorone and pyronaridine inhibited the virus replication in a549 - ace2 cells with ic50 values of 180 nm and ic50 198 nm ,  respectively.', ' human cmax for pyronaridine and quinacrine is greater than the ic50 hence justifying in vivo evaluation.']","'Repurposing the Ebola and Marburg Virus Inhibitors Tilorone, Quinacrine and Pyronaridine: In vitro Activity Against SARS-CoV-2 and Potential Mechanisms'",'10.1101/2020.12.01.407361',"[[' we found that tilorone and pyronaridine inhibited the virus replication in a549 - ace2 cells with ic50 values of 180 nm and ic50 198 nm ,  respectively.', ' human cmax for pyronaridine and quinacrine is greater than the ic50 hence justifying in vivo evaluation.']]"
quinacrine,"[' we have previously repurposed pyronaridine ,  tilorone and quinacrine ( from malaria ,  influenza ,  and antiprotozoal uses ,  respectively )  as inhibitors of ebola and marburg virus in vitro in hela cells and of mouse adapted ebola virus in mouse in vivo.', ' human cmax for pyronaridine and quinacrine is greater than the ic50 hence justifying in vivo evaluation.']","'Repurposing the Ebola and Marburg Virus Inhibitors Tilorone, Quinacrine and Pyronaridine: In vitro Activity Against SARS-CoV-2 and Potential Mechanisms'",'10.1101/2020.12.01.407361',"[[' we found that tilorone and pyronaridine inhibited the virus replication in a549 - ace2 cells with ic50 values of 180 nm and ic50 198 nm ,  respectively.', ' human cmax for pyronaridine and quinacrine is greater than the ic50 hence justifying in vivo evaluation.']]"
remdesivir,[' most notably the rna polymerase targeting remdesivir demonstrated activity in vitro and efficacy in the early stage of the disease in humans.'],"'Repurposing the Ebola and Marburg Virus Inhibitors Tilorone, Quinacrine and Pyronaridine: In vitro Activity Against SARS-CoV-2 and Potential Mechanisms'",'10.1101/2020.12.01.407361',"[[' we found that tilorone and pyronaridine inhibited the virus replication in a549 - ace2 cells with ic50 values of 180 nm and ic50 198 nm ,  respectively.', ' human cmax for pyronaridine and quinacrine is greater than the ic50 hence justifying in vivo evaluation.']]"
remdesivir,"[' approved drugs including hydroxychloroquine ,  remdesivir or interferon were reported to inhibit the infection or propagation of severe acute respiratory syndrome - related coronavirus 2 ( sars - cov - 2 )  ,  however ,  their clinical efficacies have not yet been well demonstrated.']",'Anti-severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) potency of Mefloquine as an entry inhibitor in vitro','10.1101/2020.11.19.389726',"[[' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.28 m ,  ic90 = 2.31 m ,  and ic99 = 4.39 m in veroe6 tmprss2 cells.']]"
hydroxychloroquine,"[' approved drugs including hydroxychloroquine ,  remdesivir or interferon were reported to inhibit the infection or propagation of severe acute respiratory syndrome - related coronavirus 2 ( sars - cov - 2 )  ,  however ,  their clinical efficacies have not yet been well demonstrated.', ' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.']",'Anti-severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) potency of Mefloquine as an entry inhibitor in vitro','10.1101/2020.11.19.389726',"[[' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.28 m ,  ic90 = 2.31 m ,  and ic99 = 4.39 m in veroe6 tmprss2 cells.']]"
mefloquine,"[' to identify drugs with higher antiviral potency ,  we screened approved anti - parasitic anti - protozoal drugs and identified an anti - malarial drug ,  mefloquine ,  which showed the highest anti - sars - cov - 2 activity among the tested compounds.', ' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.', ' mefloquine inhibited viral entry after viral attachment to the target cell.', ' combined treatment with mefloquine and nelfinavir ,  a replication inhibitor ,  showed synergistic antiviral activity.', ' our mathematical modeling based on the drug concentration in the lung predicted that mefloquine administration at a standard treatment dosage could decline viral dynamics in patients ,  reduce cumulative viral load to 7% and shorten the time until virus elimination by 6.', ' these data cumulatively underscore mefloquine as an anti - sars - cov - 2 entry inhibitor.']",'Anti-severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) potency of Mefloquine as an entry inhibitor in vitro','10.1101/2020.11.19.389726',"[[' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.28 m ,  ic90 = 2.31 m ,  and ic99 = 4.39 m in veroe6 tmprss2 cells.']]"
nelfinavir,"[' combined treatment with mefloquine and nelfinavir ,  a replication inhibitor ,  showed synergistic antiviral activity.']",'Anti-severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) potency of Mefloquine as an entry inhibitor in vitro','10.1101/2020.11.19.389726',"[[' mefloquine showed higher anti - sars - cov - 2 activity than hydroxychloroquine in veroe6 tmprss2 and calu - 3 cells ,  with ic50 = 1.28 m ,  ic90 = 2.31 m ,  and ic99 = 4.39 m in veroe6 tmprss2 cells.']]"
chloroquine,"[' chloroquine ( cq )  and hydroxychloroquine ( hcq )  have been challenged in treating covid - 19 patients and still under debate due to the uncertainty regarding the effectiveness and safety ,  and there is still lack of the systematic study on the toxicity of these two drugs.']",Cytotoxicity Evaluation of Chloroquine and Hydroxychloroquine in Multiple Cell Lines and Tissues by Dynamic Imaging System and Physiologically Based Pharmacokinetic Model,10.3389/fphar.2020.574720,[[' cc50 and the ratio of tissue trough concentrations to cc50 ( rttcc )  were brought into predicted toxicity profiles.']]
hydroxychloroquine,"[' chloroquine ( cq )  and hydroxychloroquine ( hcq )  have been challenged in treating covid - 19 patients and still under debate due to the uncertainty regarding the effectiveness and safety ,  and there is still lack of the systematic study on the toxicity of these two drugs.']",Cytotoxicity Evaluation of Chloroquine and Hydroxychloroquine in Multiple Cell Lines and Tissues by Dynamic Imaging System and Physiologically Based Pharmacokinetic Model,10.3389/fphar.2020.574720,[[' cc50 and the ratio of tissue trough concentrations to cc50 ( rttcc )  were brought into predicted toxicity profiles.']]
angiotensin,[' structural analysis and evidences have been indicated that interaction between a segment of receptor binding domain ( rbd )  from s protein of virus and human angiotensin - converting enzyme 2 ( hace2 )  is essential for cellular entry of virus.'],Inhibition of S-protein RBD and hACE2 Interaction for Control of SARSCoV-2 Infection (COVID-19).,10.2174/1389557520666201117111259,"[[' moreover ,  some recently identified rbd - hace2 interaction inhibitors have also been described with their protein binding pattern and potencies ( ic50 values )  which will help for further improvement in the selectivity.']]"
