Drug Name,MOA,Experiments,Method,Measurement,Value,Unit
N-3,3C-Like Protease (NL63 Coronavirus) (HCoV-NL63) Inhibitors,"Replicase Polyprotein 1ab (pp1ab) (SARS) inhibition, IN VITRO",MCA-Ala-Val-Leu-Gln-Ser-Gly-Phe-Arg-lys(Dnp)-lys-NH2 as substrate,Ki,2.30E-07,M
Methysergide,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,2.43E-07,M
Betulinic acid,Signal Transduction Modulators;3C-Like Protease (SARS-CoV) Inhibitors;Caspase 3 Activators;Caspase 8 Activators;NF-kappaB (NFKB) Activators;Apoptosis Inducers;DNA Topoisomerase I Inhibitors;Diacylglycerol Acyltransferase (DGAT) Inhibitors,"GABA(A) BZ Site Receptor affinity, IN VITRO",Displacement of [3H]-flunitrazepam,Ki,2.60E-07,M
P-21S8,,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",HEK293 human embryonic kidney cells transfected with MERS/enhanced green fluorescent protein,IC-50,2.60E-07,M
Podofilox,Potassium Channel Subfamily K Member 18 (TRESK; KCNK18) Blockers;Antimitotic Drugs,"Tubulin inhibition, IN VITRO",Spectrophotometric assay,IC-50,2.60E-07,M
SKA-31,"Small Conductance SK(Ca) Channel Activators;Intermediate Conductance K(Ca) 3.1 (IKCa1; Gardos Channel, SK41, IK1) Channel Activators","Intermediate Conductance K(Ca) 3.1 (IKCa1; SK4, KCa3.1) Channels activation, IN VITRO",,EC-50,2.60E-07,M
BTB-06256,,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescent assay,IC-50,3.00E-07,M
Chloroquine phosphate,Apoptosis Inducers,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",Cytopathicity assay,IC-50,3.06E-07,M
HM-HTCC,,"Infection, viral remission/reduction, IN VITRO",RNA assay,IC-50,3.09E-07,M
Levosimendan,K(ATP) Channel Activators;Calcium Sensitizers;Nitric Oxide (NO) Production Inhibitors,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,IC-50,3.10E-07,M
GRL-0667,Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors,"Replicase Polyprotein 1ab (pp1ab) (SARS) inhibition, IN VITRO",Arg-Leu-Arg-Gly-Gly-7-amino-4-methylcoumarin as substrate,IC-50,3.20E-07,M
Oseltamivir,,"Avian influenza remission/reduction, IN VITRO",Cytopathicity assay,IC-50,3.30E-07,M
P-21S10,,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",HEK293 human embryonic kidney cells transfected with MERS/enhanced green fluorescent protein,IC-50,3.30E-07,M
KIN-269,Interferon Regulatory Factor 3 (IRF-3) Activators,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",,IC-50,3.90E-07,M
Meloxicam,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators;Prostaglandin G/H Synthase 1 (PTGS1; COX-1) Inhibitors,"Cyclooxygenase-1 (COX-1) inhibition, IN VITRO",,IC-50,4.00E-07,M
Atorvastatin calcium,Signal Transduction Modulators;Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitors;TNFSF6 Expression Inhibitors;3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase (HMGCR) Inhibitors,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,4.17E-07,M
Nicorandil,K(ATP) Channel Activators;Nitric Oxide (NO) Donors,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,4.20E-07,M
MZ-1,Anti-Periostin,"Bromodomain-Containing Protein 4 (Brd4) affinity, IN VITRO",Chemiluminescent assay,IC-50,4.32E-07,M
Gemcitabine hydrochloride,Ribonucleoside-Diphosphate Reductase Inhibitors;Pyrimidine Antagonists,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",Cytopathicity assay,IC-50,4.40E-07,M
Rizatriptan,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,4.48E-07,M
M-232,Histone Deacetylase (HDAC) Inhibitors;Epigenetic Modifier Modulators,"Histone Deacetylase (HDAC) (nonspecified subtype) inhibition, IN VITRO",Cell-free assay,IC-50,4.60E-07,M
Baicalein,Drugs Targeting on Quorum Sensing Signaling;Signal Transduction Modulators;AR Expression Inhibitors;15-Lipoxygenase Inhibitors;Autophagy Inducers;12-Lipoxygenase Inhibitors;Dual Specificity Protein Phosphatase 3 (VHR) Inhibitors;Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Apoptosis Inducers;Protein Tyrosine Phosphatase (PTP) Inhibitors,"ATP-Dependent DNA Helicases inhibition, IN VITRO",Fluorescence resonance energy transfer (FRET) assay,IC-50,4.70E-07,M
H-89,Voltage-Gated K(V) Channel Blockers;Signal Transduction Modulators;cAMP-Dependent Protein Kinase (PKA) Inhibitors;RAC Serine/Threonine-Protein Kinase (AKT; PKB) Inhibitors,"Large Conductance BK(Ca) Potassium Channel (Maxi K+ Channel) (nonspecified subtype) activation, IN VITRO",,EC-50,4.70E-07,M
Zolmitriptan,5-HT1D Receptor Agonists;5-HT1B Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,4.76E-07,M
Eribis peptide-94,Signal Transduction Modulators;Drugs Acting on Opioid and Opioid-Like Receptors;Nitric Oxide Synthase Activators,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,5.00E-07,g/kg
Ferruginol,3C-Like Protease (SARS-CoV) Inhibitors;Lipid Peroxidation Inhibitors;Antioxidants;Apoptosis Inducers,"Catenin beta-1 activation, IN VITRO",Chemiluminescent assay,MEC,5.00E-07,M
MAC-5576,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",,IC-50,5.00E-07,M
RMNC-6,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",,IC-50,5.00E-07,M
Sunitinib malate,Proto-Oncogene Tyrosine-Protein Kinase Receptor Ret (RET; CDHF12; PTC) Inhibitors;VEGFR-3 (FLT4) Inhibitors;PDGFRbeta Inhibitors;Signal Transduction Modulators;FLT3 (FLK2/STK1) Inhibitors;Macrophage Colony-Stimulating Factor 1 Receptor (CSF1R; CD115; c-Fms) Inhibitors;KIT (C-KIT) Inhibitors;Leucine-Rich Repeat Kinase 2 (LRRK2; Dardarin) Inhibitors;VEGFR-2 (FLK1; KDR) Inhibitors;Angiogenesis Inhibitors;VEGFR-1 (FLT1) Inhibitors,"Leukemia, acute lymphocytic remission/reduction, IN VITRO",Dye assay (alamar blue),IC-50,5.00E-07,M
UTP,Signal Transduction Modulators;P2Y2 Receptor Agonists,"P2Y Purinoceptor 2 (P2Y2) agonism, IN VITRO",Fluorescent assay,EC-50,5.30E-07,M
Thalidomide,Signal Transduction Modulators;Protein Cereblon (CRBN) Inhibitors;TNF-alpha Production Inhibitors;Angiogenesis Inhibitors,"Cereblon affinity, IN VITRO",Chemiluminescent assay,IC-50,5.40E-07,M
ABT-737,Signal Transduction Modulators;Bcl-2-Like Protein 2 (Bcl-W; BCL2L2) Inhibitors;Apoptosis Inducers;Apoptosis Regulator Bcl-2 Inhibitors;Bcl-2-Like Protein 1 (Bcl-xl; Bcl-X; BCL2L1) Inhibitors,"Leukemia, B-cell acute lymphocytic remission/reduction, IN VITRO",Dye assay (alamar blue),IC-50,5.50E-07,M
GRL-0617,Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors,"Replicase Polyprotein 1ab (pp1ab) (SARS) inhibition, IN VITRO",Arg-Leu-Arg-Gly-Gly-7-amino-4-methylcoumarin as substrate,IC-50,5.60E-07,M
Diltiazem hydrochloride,L-Type Calcium Channel Blockers,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,5.98E-07,M
Coronaridine,Transient Receptor Potential Cation Channel Subfamily M Member 8 (TRPM8) Antagonists;Acetylcholinesterase (AChE) Inhibitors;Wnt Signaling Inhibitors,"Transient Receptor Potential Cation Channel subfamily M member 8 (TRPM8) blockade, IN VITRO",Fluorescent assay,IC-50,6.00E-07,M
HR2P,Viral Fusion Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",Cytopathicity assay,IC-50,6.00E-07,M
YT-146,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Adenosine A2A Receptor affinity, IN VITRO",Displacement of [3H]-ZM-241385,Ki,6.09E-07,M
AMP-579,Signal Transduction Modulators;Adenosine A2A Receptor Agonists;Adenosine A1 Receptor Agonists,"Inflammatory disorders remission/reduction, IN VITRO",,IC-50,6.10E-07,M
Eptifibatide,Signal Transduction Modulators;Integrin alphaIIbbeta3 (Fibrinogen gpIIb/IIIa) Antagonists;Inhibitors of Blood Coagulation Pathways,"Thrombotic Disorders remission/reduction, IN VITRO",Turbidimetric assay,IC-50,6.27E-07,M
Betulonic acid,Lysosomal alpha-Glucosidase (GAA) Inhibitors;E3 Ubiquitin-Protein Ligase Inhibitors,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Cytopathicity assay,IC-50,6.30E-07,M
HR2P-M2,Viral Fusion Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",Luciferine/luciferase assay,IC-50,6.40E-07,M
Tanshinone I,Signal Transduction Modulators;AP-1 Transcription Factor Complex Inhibitors;Aryl Hydrocarbon Receptor (AhR) Ligands,"Replicase Polyprotein 1ab (pp1ab) (SARS) inhibition, IN VITRO",Ubiquitin-7-amino-4-methylcoumarin as substrate,IC-50,7.00E-07,M
dBET-1,"Bromodomain-Containing Protein 4 (Brd4, HUNK1) Degradation Inducers;Apoptosis Inducers;Drugs Targeting Protein Cereblon (CRBN);Epigenetic Modifier Modulators","Bromodomain-Containing Protein 4 (Brd4) affinity, IN VITRO",Chemiluminescent assay,IC-50,7.47E-07,M
Phenazopyridine hydrochloride,,"Hepatitis, viral remission/reduction, IN VITRO",Viral replication assay,IC-50,7.70E-07,M
[N-MeIle4]-cyclosporin,Cyclophilin Inhibitors;Mitochondrial Permeability Transition (MPT) Inhibitors,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",RNA assay,IC-50,8.00E-07,M
Alisporivir,P-Glycoprotein (MDR-1; ABCB1) Inhibitors;Cyclophilin Inhibitors,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",RNA assay,IC-50,8.00E-07,M
Clamikalant,K(ATP) Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell voltage-clamp assay (0 mV),IC-50,8.00E-07,M
Iguesterin,3C-Like Protease (SARS-CoV) Inhibitors,"Proteasome Subunit beta Type-5 (PSMB5) inhibition, IN VITRO",Fluorescent assay,Ki,8.00E-07,M
Sumatriptan,5-HT1D Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,8.03E-07,M
Zaldaride maleate,Calmodulin Antagonists,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-60 mV),IC-50,8.10E-07,M
Y-27632,Signal Transduction Modulators;Calcium Sensitizers;Leucine-Rich Repeat Kinase 2 (LRRK2; Dardarin) Inhibitors;Rho Kinase 1 (ROCK 1; p160-ROCK) Inhibitors;Rho Kinase 2 (ROCK 2; ROCKalpha) Inhibitors,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-60 mV),IC-50,8.70E-07,M
Geldanamycin,Signal Transduction Modulators;Heat Shock Protein 90 (Hsp90) Inhibitors,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",,IC-50,9.10E-07,M
Bradykinin,Signal Transduction Modulators;Bradykinin B2 Receptor Agonists,"Muscarinic Acetylcholine Receptor M2 antagonism, IN VITRO",,MIC,1.00E-06,M
Esmolol hydrochloride,beta1-Adrenoceptor Antagonists;Signal Transduction Modulators,"Hypertension remission/reduction, IN VITRO",,MEC,1.00E-06,M
Imatinib mesylate,Bcr-Abl (Bcr-Abl1) Kinase Inhibitors;Tyrosine-Protein Kinase ABL1 (ABL) Inhibitors;PDGFRalpha Inhibitors;PDGFRbeta Inhibitors;Signal Transduction Modulators;Macrophage Colony-Stimulating Factor 1 Receptor (CSF1R; CD115; c-Fms) Inhibitors;KIT (C-KIT) Inhibitors;Apoptosis Inducers;Angiogenesis Inhibitors,"Platelet-Derived Growth Factor (PDGF) (nonspecified subtype) antagonism, IN VITRO",,MIC,1.00E-06,M
Mibefradil,Sodium Channel Protein Type 2 Subunit alpha (Nav1.2) Channel Blockers;Sodium Channel Protein Type 9 Subunit alpha (Nav1.7) Channel Blockers;T-Type Calcium Channel Blockers;Sodium Channel Protein Type 4 Subunit alpha (Nav1.4) Channel Blockers;Sodium Channel Protein Type 5 Subunit alpha (Nav1.5) Channel Blockers,"L-Type Calcium Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-80 mV),IC-50,1.00E-06,M
Psoralidin,Estrogen Receptor (ER) beta Agonists;Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Estrogen Receptor (ER) alpha Agonists;5-Lipoxygenase Inhibitors;Signal Transduction Modulators;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;NF-kappaB (NFKB) Activation Inhibitors;Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors;Caspase Activators;Apoptosis Inducers,"5-Hydroxytryptamine Receptor 1A (5-HT1A) agonism, IN VITRO",Chemiluminescent assay,MEC,1.00E-06,M
Quercetin,Catechol-O-Methyl Transferase (COMT) Inhibitors;Drugs Targeting on Quorum Sensing Signaling;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;MAO-A Inhibitors;NAD-Dependent Protein Deacetylase Sirtuin-1 (SIRT1) Activators;Signal Transduction Modulators;Lysosomal alpha-Glucosidase (GAA) Inhibitors;Xanthine Oxidase Inhibitors;EGFR (HER1; erbB1) Inhibitors;Cytokine Production Inhibitors;Antioxidants;Steryl-Sulfatase (STS) Inhibitors;Aldose Reductase Inhibitors;Sodium Channel Protein Type 5 Subunit alpha (Nav1.5) Channel Blockers;Free Radical Scavengers;Epigenetic Modifier Modulators;Wnt Signaling Inhibitors,"Fatty acid oxidation disorders remission/reduction, IN VITRO",TBARS formation assay,MIC,1.00E-06,M
Vitamin E,Antioxidants,"Fatty acid oxidation disorders remission/reduction, IN VITRO",TBARS formation assay,MIC,1.00E-06,M
Mibefradil hydrochloride,T-Type Calcium Channel Blockers;L-Type Calcium Channel Blockers,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (+20 mV),Ki,1.01E-06,M
Mucroporin-M1,Cell Membrane Disrupting Agents,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,1.03E-06,M
18-Methoxycoronaridine,Signal Transduction Modulators;Nicotinic alpha3beta4 Receptor Antagonists,"Nicotinic alpha3beta4 Receptor antagonism, IN VITRO",Fluorescent assay,IC-50,1.06E-06,M
2'-C-Methylguanosine,RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.10E-06,M
Ascochlorin,Signal Transduction Modulators;AP-1 Transcription Factor Complex Inhibitors,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",,IC-50,1.10E-06,M
Vidarabine,Adenylate Cyclase Type 6 (ADCY6) Inhibitors;Adenylate Cyclase Type 5 (ADCY5) Inhibitors,"Adenylate Cyclase (nonspecified subtype) inhibition, IN VITRO",cAMP accumulation assay,IC-50,1.11E-06,M
Chlorpyrifos,,"Hepatitis, viral remission/reduction, IN VITRO",Viral replication assay,IC-50,1.12E-06,M
DTPMPA,Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors,"ATPase (nonspecified subtype) inhibition, IN VITRO",Phosphate release assay,IC-50,1.19E-06,M
6-Azauridine,,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",Plaque assay,IC-50,1.20E-06,M
Ferulic acid ethyl ester,Antioxidants,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",Dye assay (sulforhodamine B),IC-50,1.20E-06,M
Ilicicolin F,,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",,IC-50,1.20E-06,M
Cisplatin,DNA Alkylating Drugs;Signal Transduction Modulators;Thioredoxin (TXN; TRX; TRDX) Inhibitors;TNFSF6 Expression Inhibitors;Apoptosis Inducers;BIRC4 Expression Enhancers;X-Chromosome-Linked Inhibitor of Apoptosis Protein (XIAP) Inhibitors,"Cancer, ovary (adenocarcinoma) remission/reduction, IN VITRO",Dye assay,CC-50,1.40E-06,M
Nifurtimox,,"Trypanosomiasis remission/reduction, IN VITRO",Amastigote (intracellular) assay,IC-50,1.40E-06,M
Aloxistatin,Calpain Inhibitors;Cathepsin B Inhibitors;Falcipain 2 Inhibitors;Cathepsin L Inhibitors;Antiamyloidogenic Agents,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.45E-06,M
RDS-1712,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"HIV Integrase inhibition, IN VITRO",Strand transfer assay,IC-50,1.47E-06,M
Ciprofloxacin hydrochloride,Melanin Ligands;DNA Gyrase (Bacterial) Inhibitors;DNA Topoisomerase IV (Bacterial) Inhibitors,"Tuberculosis remission/reduction, IN VITRO",Resazurin reduction assay,MIC,1.50E-06,M
ML-188,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",,IC-50,1.50E-06,M
Mycophenolic acid,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,"Infection, viral remission/reduction, IN VITRO",Plaque assay,IC-50,1.50E-06,M
UDP,,"P2Y Purinoceptor 2 (P2Y2) agonism, IN VITRO",Fluorescent assay,EC-50,1.50E-06,M
Trifluoperazine hydrochloride,Calcium/Calmodulin-Dependent Protein Kinase Type II (CAMK2) Inhibitors;Sodium Channel Protein Type 9 Subunit alpha (Nav1.7) Channel Blockers;Signal Transduction Modulators;Dopamine D2 Receptor (DRD2) Antagonists;Sodium Channel Protein Type 4 Subunit alpha (Nav1.4) Channel Blockers,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (+60 mV),IC-50,1.58E-06,M
OSI-9719,,Not Applicable,,EC-50,1.60E-06,M
Ferulaldehyde,Heat Shock Factor Protein 1 (HSF1) Activators;Nitric Oxide (NO) Production Inhibitors,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",Dye assay (sulforhodamine B),IC-50,1.70E-06,M
Flunarizine hydrochloride,Calcium Channel Blockers,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,1.70E-06,M
SCA-40,Signal Transduction Modulators;Phosphodiesterase PDE4 Inhibitors;Potassium Channel Activators;Phosphodiesterase PDE3 Inhibitors,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,IC-50,1.80E-06,M
15-Deoxy-prostaglandin J2,Farnesoid X Receptor (FXR) Antagonists;Signal Transduction Modulators;PPARgamma Agonists,"Cytotoxicity induction, IN VITRO",Dye assay,IC-50,2.00E-06,M
Coronarin D,Signal Transduction Modulators;NF-kappaB (NFKB) Activators;Apoptosis Inducers,"Caspase-3 activation, IN VITRO",Chemiluminescent assay,MEC,2.00E-06,M
RDS-1759,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Infection, HIV remission/reduction, IN VITRO",Viral replication assay,IC-50,2.10E-06,M
Amitriptyline hydrochloride,Signal Transduction Modulators;Norepinephrine Reuptake Inhibitors;5-HT Reuptake Inhibitors;Sodium Channel Protein Type 4 Subunit alpha (Nav1.4) Channel Blockers,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-60 mV),IC-50,2.20E-06,M
Bananin,Chelating Agents,"ATPase (nonspecified subtype) inhibition, IN VITRO",,IC-50,2.30E-06,M
Kaempferol 3-O-alpha-L-arabinofuranoside,Hedgehog Signaling Inhibitors;Antioxidants,"Hypothetical Protein Sars3a inhibition, IN VITRO",Voltage-clamp assay (-60 mV),IC-50,2.30E-06,M
Dieckol,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;beta-Secretase 1 (BACE1) Inhibitors;Acetylcholinesterase (AChE) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescence resonance energy transfer (FRET) assay,Ki,2.40E-06,M
CA-074Me,Cathepsin B Inhibitors;Antiamyloidogenic Agents,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,2.50E-06,M
EMAC-2076,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,2.50E-06,M
EMAC-2077,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,2.60E-06,M
Adenosine triphosphate,P2X Receptor Agonists;Signal Transduction Modulators,"P2Y Purinoceptor 2 (P2Y2) agonism, IN VITRO",Fluorescent assay,EC-50,2.70E-06,M
EMAC-2078,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,2.80E-06,M
Fasudil hydrochloride,Signal Transduction Modulators;Calcium Sensitizers;Rho Kinase Inhibitors,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,2.94E-06,M
Aceclofenac,,"Cyclooxygenase-2 (COX-2) inhibition, IN VITRO",,IC-50,3.00E-06,M
Aciclovir,DNA Polymerase Inhibitors,"Infection, herpes simplex virus remission/reduction, IN VITRO",Plaque assay,IC-50,3.00E-06,M
W-7,Calmodulin Antagonists;Potassium Voltage-Gated Channel Subfamily H Member 2 (KCNH2; hERG1; Kv11.1) Blockers;K(V) 1.5 (KCNA5) Channel Blockers,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-60 mV),IC-50,3.38E-06,M
SB-203580,Signal Transduction Modulators;Stress-Activated Protein (SAP/Jun) Kinase Inhibitors;Calcium Channel Activators;MAPK p38 Inhibitors;Receptor-Interacting Serine/Threonine-Protein (RIP-2) Kinase 2 Inhibitors,"Inflammatory disorders remission/reduction, IN VITRO",ELISA assay,IC-50,3.50E-06,M
Fluorouracil,Pyrimidine Antagonists;Apoptosis Inducers;Antimitotic Drugs;Dihydropyrimidine Dehydrogenase Inhibitors,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",,IC-50,3.60E-06,M
Amiodarone hydrochloride,Signal Transduction Modulators;Voltage-Gated Sodium Channel Blockers;Muscarinic M3 Receptor Ligands;Drugs Acting on Hyperpolarization-activated Cyclic Nucleotide-Gated (HCN) Channels,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-60 mV),IC-50,3.90E-06,M
NSC-727447,,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,4.00E-06,M
ML-300,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",,IC-50,4.11E-06,M
Tripterin,Signal Transduction Modulators;Heat Shock Protein 90 (Hsp90) Inhibitors;Lipid Peroxidation Inhibitors;Cytokine Production Inhibitors;Apoptosis Inducers;Enoyl-(Acyl Carrier Protein) Reductase (FabI) (Plasmodium falciparum) Inhibitors;Antioxidants;Myc Proto-Oncogene Protein (c-Myc)/Myc-Associated Factor X (Max) Interaction Inhibitors,"Proteasome Subunit beta Type-5 (PSMB5) inhibition, IN VITRO",Fluorescent assay,Ki,4.20E-06,M
Idarubicin hydrochloride,,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,4.21E-06,M
Eletriptan,5-HT1B Receptor Agonists;5-HT1D Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,4.30E-06,M
K-131,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Poly(dC)-poly(rG) as template primer,IC-50,4.50E-06,M
trans-Resveratrol,NF-kappaB (NFKB) Modulators;NAD-Dependent Protein Deacetylase Sirtuin-1 (SIRT1) Activators;Extracellular-Regulated Kinase (ERK) Activators;MAO-A Inhibitors;Signal Transduction Modulators;P-Glycoprotein (MDR-1; ABCB1) Inhibitors;Lipid Peroxidation Inhibitors;Thioredoxin (TXN; TRX; TRDX) Inhibitors;Xanthine Oxidase Inhibitors;APOA1 Expression Enhancers;Prostaglandin G/H Synthase 1 (PTGS1; COX-1) Inhibitors;Apoptosis Inducers;beta-Secretase 1 (BACE1) Inhibitors;Angiogenesis Inhibitors;DNA Topoisomerase II Inhibitors;Sodium Channel Protein Type 5 Subunit alpha (Nav1.5) Channel Blockers;Epigenetic Modifier Modulators,"Histamine H1 Receptor antagonism, IN VITRO",,IC-50,4.50E-06,M
Xanthoangelol B,3C-Like Protease (SARS-CoV) Inhibitors;Cysteine Protease Inhibitors;Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors;Antioxidants;Sensor Histidine Kinase (Bacterial) Inhibitors;Plasminogen Activator Inhibitor (PAI-1) Inhibitors;Nitric Oxide (NO) Production Inhibitors;Free Radical Scavengers,"Anemia, hemolytic remission/reduction, IN VITRO",,IC-50,4.62E-06,M
Coronarin C,,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",Dye assay (sulforhodamine B),IC-50,4.80E-06,M
Cinanserin hydrochloride,Serotonin Receptor Antagonists;Signal Transduction Modulators,"3C-Like Protease (viral) inhibition, IN VITRO",,IC-50,5.00E-06,M
K-123,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Poly(dC)-poly(rG) as template primer,IC-50,5.00E-06,M
Parstatin,Angiogenesis Inhibitors,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,5.00E-06,g/kg
Zacopride,Signal Transduction Modulators;5-HT3 Receptor Antagonists,"Arrhythmia, ventricular remission/reduction, IN VIVO",Artery (coronary) ligation,MED,5.00E-06,g/kg
AG-690/36550050,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,5.10E-06,M
SSYA-10-001,,"NTPase inhibition, IN VITRO",DNA as substrate,IC-50,5.30E-06,M
